B02001_001E,B02001_002E,state,county,tract,block group
2611,2536,04,021,000801,3
1807,1397,04,021,002200,3
1990,1723,04,013,421902,4
2768,2073,04,013,061015,1
2084,1920,04,025,000802,2
2035,1699,04,019,004725,2
1698,1298,04,019,004511,3
3760,2467,04,019,004333,1
1907,1574,04,013,616800,3
2376,1876,04,013,082209,2
1423,1047,04,013,082207,1
2779,1925,04,013,082205,1
2531,1785,04,013,082203,3
3124,2531,04,013,082027,2
3496,2651,04,013,082026,1
2168,1816,04,013,420302,3
2226,2072,04,013,104301,1
695,594,04,013,422639,3
2786,1772,04,013,082010,1
1695,1121,04,013,092709,2
1478,767,04,019,004110,1
767,724,04,019,004317,2
1667,1314,04,019,004506,2
722,561,04,019,004625,1
784,687,04,013,112100,3
2331,1852,04,013,112700,1
2477,2270,04,013,112700,3
2032,1344,04,013,113203,1
1035,705,04,019,001100,1
835,562,04,013,115200,1
2498,911,04,013,116203,2
1593,1158,04,013,116708,3
2683,2543,04,021,000802,2
2235,1951,04,021,000315,1
1075,1075,04,021,000318,1
2039,1961,04,019,004425,3
948,948,04,019,004324,1
946,938,04,019,004330,2
2297,2041,04,019,004071,1
1384,1166,04,019,004071,2
1442,899,04,019,002201,2
2213,1942,04,019,004726,3
847,847,04,013,422640,4
948,859,04,013,422640,1
2171,1810,04,013,422637,2
1748,1056,04,013,421102,5
5846,2437,04,019,004113,1
1651,1635,04,021,000603,2
808,805,04,011,960300,2
1404,687,04,019,002604,2
222,188,04,013,117200,1
947,845,04,027,011107,2
3098,2582,04,027,010905,1
887,703,04,027,011112,3
0,0,04,027,980003,1
615,581,04,027,001001,3
1401,1127,04,013,061012,2
2153,1585,04,013,110801,1
1417,1038,04,013,106702,1
1784,1252,04,013,106001,1
1209,996,04,013,814100,3
443,433,04,013,814000,3
1627,1545,04,013,810900,4
1049,772,04,013,810900,1
1553,1160,04,013,810700,4
2380,2259,04,013,061045,2
2621,2214,04,013,107000,2
1332,755,04,013,107000,3
1914,1568,04,013,422105,2
1781,1175,04,013,422204,1
1200,1109,04,013,422209,1
929,404,04,019,004320,2
1249,1199,04,019,004419,3
827,510,04,019,000300,1
606,545,04,013,422305,1
1687,1426,04,013,422305,3
1215,1136,04,013,422508,1
1061,956,04,019,001400,4
1978,1311,04,019,001400,2
1655,1381,04,013,111800,3
911,787,04,013,111800,4
1373,1267,04,013,103206,2
1414,1020,04,013,103210,2
1043,959,04,013,217101,3
600,589,04,013,217400,1
1321,1206,04,013,217400,4
1804,1304,04,013,103210,3
2202,1892,04,013,103302,2
2046,1863,04,013,103302,3
1797,1760,04,013,103400,3
1181,690,04,013,109701,1
1200,1110,04,013,103614,2
980,633,04,003,001501,1
1125,894,04,003,001502,2
3270,2506,04,003,001401,1
1145,862,04,003,001701,4
1036,927,04,013,106802,3
841,717,04,013,106801,3
1704,1652,04,013,817500,2
1709,1692,04,013,817300,2
2309,1756,04,003,001601,3
1078,686,04,003,001602,4
0,0,04,003,001402,2
400,380,04,003,000901,1
2927,2746,04,021,000316,1
751,668,04,019,002703,3
816,782,04,009,961201,1
1570,1546,04,009,961202,1
942,857,04,009,961300,3
2092,2066,04,009,961500,2
877,759,04,013,619000,1
755,641,04,013,618800,4
452,344,04,013,618800,1
1263,1042,04,013,618600,2
1371,1139,04,019,004723,3
3553,2435,04,013,815100,2
2152,1978,04,013,815000,2
2202,1711,04,013,116732,1
2076,887,04,013,116613,2
918,628,04,013,812300,3
1665,1344,04,013,812100,3
1245,1022,04,013,811400,4
1060,928,04,013,522903,3
12,10,04,013,980400,1
953,898,04,009,961600,1
1086,911,04,013,092312,3
2080,1370,04,013,092311,2
1448,965,04,013,082019,1
586,385,04,023,966301,2
3228,2981,04,017,963400,1
1021,882,04,017,965200,1
1794,1451,04,013,422218,2
873,830,04,013,216826,3
999,979,04,023,966105,3
600,361,04,019,004313,2
2321,916,04,019,002506,3
1527,1237,04,017,965300,1
1890,1705,04,017,965300,2
1685,1023,04,013,106701,3
1169,851,04,013,106502,3
1834,1480,04,013,106003,2
1047,963,04,013,216851,4
447,447,04,013,216851,1
469,469,04,013,216850,1
1070,917,04,013,116729,3
1365,1263,04,013,420210,3
1107,1041,04,019,004719,4
1513,1495,04,025,002004,2
1617,1581,04,025,001403,2
955,847,04,025,000204,3
1249,1097,04,025,001802,3
1108,1080,04,013,040531,4
1493,1008,04,013,113801,1
2562,842,04,013,112509,1
5398,3605,04,013,061011,2
